"UACE10","GEOID10","NAME10","state","ALAND10","report_year.x","report_year.y","agency_voms","mode_voms","service_area_sq_miles","service_area_population","report_year","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"18397","18397","Cody, WY","WY",16432857,2023,2023,3,3,0,0,2023,1,0,0,0,1,0,0,1,0,7771,144124,37.5812,0,0,1.848,0
"18451","18451","Coeur d'Alene, ID","ID",122415831,2023,2023,7,5,388,90132,2023,1,0,0,1,2,0,0,2,1,0,3389731,387.4192,0,0,12.5156,0
"18532","18532","Colby, KS","KS",7762505,2023,2023,2,2,0,0,2023,0,0,0,0,1,0,0,1,0,4797,61633,20.8501,0,0,1.8177,0
"18667","18667","Coldwater, MI","MI",29870319,2023,2023,13,12,0,0,2023,1,0,100,2,2,0,0,2,0,178888,1925937,123.5078,0,0,12.072,0
"18748","18748","College Station--Bryan, TX","TX",184914747,2023,2023,67,50,74,132500,2023,9,11.1111111111111,55.5555555555556,2,2,0,0,2,0,366571,10177309,195.3155,0,0,9.0877,2746121
"18856","18856","Colorado Springs, CO","CO",487015479,2023,2023,101,58,275,752000,2023,17,5.88235294117647,29.4117647058824,3,6,0,0,4,2,1955680,39958780,661.8808,0,0,27.1419,11218841
"18937","18937","Columbia, MO","MO",160441396,2023,2023,27,15,61,126853,2023,3,33.3333333333333,33.3333333333333,2,2,0,0,2,0,877128,5862822,288.1405,0,0,45.4245,2446292
"18964","18964","Columbia, SC","SC",984242315,2023,2023,230,134,1530,646895,2023,4,0,25,3,4,0,0,0,4,4660810,28516077,519.7638,0,0,24.928,12347578
"19018","19018","Columbia City, IN","IN",15736002,2023,2023,8,8,0,0,2023,1,0,0,0,1,0,0,1,0,131691,814447,61.7988,0,0,2.2734,0
"19099","19099","Columbus, GA--AL","GA",381438379,2023,2023,24,15,132,230208,2023,7,85.7142857142857,100,2,2,0,0,2,0,643566,5123683,85.8106,0,0,11.069,0
