"UACE10","GEOID10","NAME10","state","ALAND10","agency_voms","mode_voms","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"19234","19234","Columbus, OH","OH",1322426433,283,219,48,6.25,35.4166666666667,1,4,0,0,3,2,11606446,162975401,441.7559,0,0,19.6272,39854147
"19342","19342","Colusa, CA","CA",5884523,6,6,1,0,0,0,2,0,0,1,0,69097,1155494,105.7177,0,0,2.9318,0
"19369","19369","Colville, WA","WA",11916331,9,6,0,0,0,2,2,0,0,2,0,9574,806854,107.2204,0,0,1.7356,0
"19504","19504","Concord, CA","CA",525078873,97,64,13,0,100,2,1,0,0,1,2,1161970,33528242,448.9191,0,0,7.752,5160406
"19531","19531","Concord, NH","NH",88333045,11,8,8,0,12.5,3,2,0,0,2,0,0,1249863,214.935,0,0,9.2914,0
"19558","19558","Concord, NC","NC",466782955,46,22,4,100,100,4,5,0,0,5,4,13581,8674307,567.8135,0,0,27.6557,0
"19585","19585","Concordia, KS","KS",6465906,3,3,0,0,0,0,2,0,0,1,0,13978,137462,38.1098,0,0,3.6601,0
"19693","19693","Connersville, IN","IN",22710412,8,8,2,0,50,0,2,0,0,1,0,34552,392844,37.8462,0,0,1.8588,0
"19755","19755","Conroe--The Woodlands, TX","TX",345013129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19828","19828","Cookeville, TN","TN",115274265,94,78,2,50,50,2,2,0,0,2,0,151758,7087876,78.1269,0,0,2.8382,0
"19882","19882","Coolidge, AZ","AZ",10906528,8,6,2,0,0,2,2,0,0,2,0,15797,845401,121.2422,0,0,3.3535,0
"19936","19936","Coos Bay, OR","OR",42686508,11,4,1,0,0,3,3,0,0,3,0,33402,1160739,210.619,0,0,6.2616,0
"20044","20044","Corcoran, CA","CA",16956710,6,6,3,0,33.3333333333333,0,2,0,0,1,0,25094,844854,341.6312,0,0,4.8759,0
"20071","20071","Cordele, GA","GA",19478696,6,6,0,0,0,0,2,0,0,0,1,7726,390967,47.7138,0,0,2.4966,0
"20233","20233","Corning, NY","NY",26175021,5,5,1,0,0,2,0,0,0,0,1,18663,837909,78.0758,0,0,6.1172,0
"20287","20287","Corpus Christi, TX","TX",311317188,114,42,48,0,25,2,2,0,0,1,3,1274387,33138012,351.7261,0,0,23.8719,14672073
"20341","20341","Corsicana, TX","TX",32707922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20368","20368","Cortez, CO","CO",9451925,6,6,0,0,0,0,2,0,0,1,0,8884,227467,31.0578,0,0,0.8618,0
"20395","20395","Cortland, NY","NY",27627631,16,14,0,0,0,2,2,0,0,0,2,30597,2007147,171.6458,0,0,4.8494,0
"20422","20422","Corvallis, OR","OR",55127909,11,11,2,0,0,2,2,0,0,0,3,37981,5261346,268.1014,0,0,14.6824,0
"20476","20476","Coshocton, OH","OH",13446090,8,8,0,0,0,0,2,0,0,1,0,7868,734298,85.8828,0,0,1.7195,0
"20503","20503","Cottage Grove, OR","OR",13606209,2,2,1,100,100,0,2,0,0,0,1,29759,537235,73.4128,0,0,1.399,0
"20595","20595","Cottonwood--Verde Village, AZ","AZ",37505226,9,6,1,0,0,2,2,0,0,2,0,355,1726088,115.9607,0,0,7.7324,0
"20719","20719","Covington, TN","TN",17355179,27,27,0,0,0,0,2,0,0,1,0,56411,1591809,64.6788,0,0,0.9809,0
"20890","20890","Crawfordville, FL","FL",24765279,10,10,0,0,0,0,2,0,0,1,0,20837,327201,45.8136,0,0,1.6007,0
"20908","20908","Crescent City, CA","CA",30718476,6,5,1,0,0,2,2,0,0,0,2,73457,1394956,210.8973,0,0,6.2458,0
"21016","21016","Creston, IA","IA",10213334,29,29,0,0,0,0,2,0,0,1,0,264455,1963151,43.33,0,0,1.6536,0
"21043","21043","Crestview, FL","FL",61102504,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21232","21232","Crookston, MN","MN",10534888,20,11,3,0,0,2,2,0,0,2,0,148189,2641668,108.6636,0,0,6.3017,0
"21421","21421","Crowley, LA","LA",17789348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21637","21637","Cullman, AL","AL",57522567,30,30,0,0,0,0,2,0,0,1,0,22097,1113777,89.0238,0,0,1.4564,0
"21745","21745","Cumberland, MD--WV--PA","MD",84481876,0,0,2,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0
